fecha;base gold price;93%;4% de base medellin;base ala;Diferencia entre base segun ala y base giovani real;diferencia entre base para utilidad y base segun ala por gramo
15/05/2025;$438.000 ;$407.340 ;$391.046 ;$384.000 ;$7.046 ;$23.340 
19/05/2025;$433.000 ;$402.690 ;$386.582 ;$384.000 ;$2.582 ;$18.690 
24/05/2025;$447.000 ;$415.710 ;$399.082 ;$396.000 ;$3.082 ;$19.710 
26/05/2025;$446.000 ;$414.780 ;$398.189 ;$399.000 ;($811);$15.780 
29/05/2025;$438.000 ;$407.340 ;$391.046 ;$392.000 ;($954);$15.340 
3/6/2025;$446.000 ;$414.780 ;$398.189 ;$389.000 ;$9.189 ;$25.780 
5/6/2025;$444.000 ;$412.920 ;$396.403 ;$397.000 ;($597);$15.920 
9/6/2025;$442.000 ;$411.060 ;$394.618 ;$392.000 ;$2.618 ;$19.060 
12/6/2025;$455.000 ;$423.150 ;$406.224 ;$397.000 ;$9.224 ;$26.150 
16/06/2025;$447.000 ;$415.710 ;$399.082 ;$405.000 ;($5.918);$10.710 
19/06/2025;$441.000 ;$410.130 ;$393.725 ;$397.000 ;($3.275);$13.130 
24/06/2025;$435.000 ;$404.550 ;$388.368 ;$393.600 ;($5.232);$10.950 
1/7/2025;$435.000 ;$404.550 ;$388.368 ;$383.000 ;$5.368 ;$21.550 
3/7/2025;$426.000 ;$396.180 ;$380.333 ;$386.000 ;($5.667);$10.180 
7/7/2025;$428.000 ;$398.040 ;$382.118 ;$379.000 ;$3.118 ;$19.040 
11/7/2025;$413.000 ;$384.090 ;$368.726 ;$381.672 ;($12.946);$2.418 
14/07/2025;$433.000 ;$402.690 ;$386.582 ;$381.672 ;$4.910 ;$21.018 
16/07/2025;$432.000 ;$401.760 ;$385.690 ;$384.797 ;$893 ;$16.963 
21/07/2025;$440.000 ;$409.200 ;$392.832 ;$386.000 ;$6.832 ;$23.200 
24/07/2025;$440.000 ;$409.200 ;$392.832 ;$386.000 ;$6.832 ;$23.200 
28/07/2025;$446.000 ;$414.780 ;$398.189 ;$391.000 ;$7.189 ;$23.780 
31/07/2025;$441.000 ;$410.130 ;$393.725 ;$392.000 ;$1.725 ;$18.130 
4/8/2025;$446.000 ;$414.780 ;$398.189 ;$396.000 ;$2.189 ;$18.780 
6/8/2025;$442.000 ;$411.060 ;$394.618 ;$396.000 ;($1.382);$15.060 
12/8/2025;$432.000 ;$401.760 ;$385.690 ;$395.000 ;($9.310);$6.760 
15/08/2025;$432.000 ;$401.760 ;$385.690 ;$386.000 ;($310);$15.760 
19/08/2025;$430.000 ;$399.900 ;$383.904 ;$385.000 ;($1.096);$14.900 
21/08/2025;$433.000 ;$402.690 ;$386.582 ;$385.000 ;$1.582 ;$17.690 
25/08/2025;$436.000 ;$405.480 ;$389.261 ;$388.000 ;$1.261 ;$17.480 
27/08/2025;$441.000 ;$410.130 ;$393.725 ;$390.000 ;$3.725 ;$20.130 
1/9/2025;$448.000 ;$416.640 ;$399.974 ;$395.000 ;$4.974 ;$21.640 
4/9/2025;$456.000 ;$424.080 ;$407.117 ;$405.000 ;$2.117 ;$19.080 
8/9/2025;$462.000 ;$429.660 ;$412.474 ;$406.000 ;$6.474 ;$23.660 
11/9/2025;$458.000 ;$425.940 ;$408.902 ;$408.000 ;$902 ;$17.940 
15/09/2025;$455.000 ;$423.150 ;$406.224 ;$407.000 ;($776);$16.150 
18/09/2025;$455.000 ;$423.150 ;$406.224 ;$409.000 ;($2.776);$14.150 
22/09/2025;$461.000 ;$428.730 ;$411.581 ;$408.000 ;$3.581 ;$20.730 
25/09/2025;$467.000 ;$434.310 ;$416.938 ;$415.000 ;$1.938 ;$19.310 
29/09/2025;$478.000 ;$444.540 ;$426.758 ;$422.000 ;$4.758 ;$22.540 
2/10/2025;$485.000 ;$451.050 ;$433.008 ;$429.000 ;$4.008 ;$22.050 
6/10/2025;$489.000 ;$454.770 ;$436.579 ;$431.000 ;$5.579 ;$23.770 
9/10/2025;$503.000 ;$467.790 ;$449.078 ;$441.000 ;$8.078 ;$26.790 
14/10/2025;$522.000 ;$485.460 ;$466.042 ;$445.000 ;$21.042 ;$40.460 
17/10/2025;$526.000 ;$489.180 ;$469.613 ;$468.000 ;$1.613 ;$21.180 
20/10/2025;$542.000 ;$504.060 ;$483.898 ;$465.000 ;$18.898 ;$39.060 
23/10/2025;$522.000 ;$485.460 ;$466.042 ;$460.000 ;$6.042 ;$25.460 
28/10/2025;$492.000 ;$457.560 ;$439.258 ;$454.000 ;($14.742);$3.560 
30/10/2025;$498.000 ;$463.140 ;$444.614 ;$441.000 ;$3.614 ;$22.140 
4/11/2025;$491.000 ;$456.630 ;$438.365 ;$440.000 ;($1.635);$16.630 
7/11/2025;$485.000 ;$451.050 ;$433.008 ;$436.000 ;($2.992);$15.050 
10/11/2025;$495.000 ;$460.350 ;$441.936 ;$434.000 ;$7.936 ;$26.350 
15/11/2025;$492.000 ;$457.560 ;$439.258 ;$442.000 ;($2.742);$15.560 
20/11/2025;$493.000 ;$458.490 ;$440.150 ;$439.000 ;$1.150 ;$19.490 
27/11/2025;$504.000 ;$468.720 ;$449.971 ;$442.000 ;$7.971 ;$26.720 
1/12/2025;$512.000 ;$476.160 ;$457.114 ;$442.000 ;$15.114 ;$34.160 
4/12/2025;$496.000 ;$461.280 ;$442.829 ;$442.000 ;$829 ;$19.280 
9/12/2025;$520.000 ;$483.600 ;$464.256 ;$442.000 ;$22.256 ;$41.600 
